speakerid,mean_sim,lastname,firstname,chamber,state,gender,party,district,nonvoting,session
99109380,-0.0240276133978689,LOWERY,WILLIAM,H,CA,M,R,41,voting,99
99109400,-0.00217864232059429,MADIGAN,EDWARD,H,IL,M,R,15,voting,99
99109410,-0.0285899615087605,MARLENEE,RONALD,H,MT,M,R,2,voting,99
99109420,-0.0333526453657895,MARTIN,DAVID,H,NY,M,R,26,voting,99
99109430,0.00633218034207547,MAVROULES,NICHOLAS,H,MA,M,D,6,voting,99
99109440,-0.0315618870586,MCEWEN,BOB,H,OH,M,R,6,voting,99
99109450,-0.0104778373638298,MCGRATH,RAYMOND,H,NY,M,R,5,voting,99
99109460,0.00193840651538462,MCHUGH,MATTHEW,H,NY,M,D,28,voting,99
99109480,-0.00785705068181818,MILLER,CLARENCE,H,OH,M,R,10,voting,99
99109490,-0.00629918564117647,MILLER,JOHN,H,WA,M,R,1,voting,99
99109500,0.00873334528899048,MOODY,JIM,H,WI,M,D,5,voting,99
99109510,0.00181608077446809,MORRISON,SIDNEY,H,WA,M,R,4,voting,99
99109520,0.0352140640371429,MRAZEK,ROBERT,H,NY,M,D,3,voting,99
99109550,-0.0646099622166667,NOWAK,HENRY,H,NY,M,D,33,voting,99
99109561,0.00650294059327575,NUNN,SAMUEL,S,GA,M,D,,voting,99
99109570,-0.00302540966187179,OAKAR,MARY,H,OH,F,D,20,voting,99
99109580,-0.00602058916734694,OLIN,JAMES,H,VA,M,D,6,voting,99
99109610,-0.0307207641202299,PEASE,DONALD,H,OH,M,D,13,voting,99
99109621,-0.00828956675450813,PELL,CLAIBORNE,S,RI,M,D,,voting,99
99109630,0.0118241857022727,PERKINS,CARL,H,KY,M,D,7,voting,99
99109641,-0.0304946953041053,PRESSLER,LARRY,S,SD,M,R,,voting,99
99109651,-0.0203696334830803,PRYOR,DAVID,S,AR,M,D,,voting,99
99109660,-0.00527392056884892,PURSELL,CARL,H,MI,M,R,2,voting,99
99109670,-0.0106949194759494,RAY,RICHARD,H,GA,M,D,3,voting,99
99109690,-0.082061082312963,RINALDO,MATTHEW,H,NJ,M,R,7,voting,99
99109700,0.0384566969119617,RITTER,DONALD,H,PA,M,R,15,voting,99
99109710,-0.0260285137681081,ROE,ROBERT,H,NJ,M,D,8,voting,99
99109720,-0.0268303462414286,ROYBAL,EDWARD,H,CA,M,D,25,voting,99
99109730,-0.01908094896875,RUSSO,MARTIN,H,IL,M,D,3,voting,99
99109740,-0.01610934095,SAVAGE,GUS,H,IL,M,D,2,voting,99
99109750,0.00869154408689394,SCHEUER,JAMES,H,NY,M,D,8,voting,99
99109760,-0.0269897515032258,SCHULZE,RICHARD,H,PA,M,R,5,voting,99
99109780,-0.0350632663852174,SIKORSKI,GERALD,H,MN,M,D,6,voting,99
99109791,-0.00119295735786044,SIMON,PAUL,S,IL,M,D,,voting,99
99109801,0.0236858283038051,SIMPSON,ALAN,S,WY,M,R,,voting,99
99109810,-0.04546149863,SLAUGHTER,DANIEL,H,VA,M,R,7,voting,99
99109820,-0.0181477849862903,SMITH,LAWRENCE,H,FL,M,D,16,voting,99
99109830,0.00654217826536697,SOLARZ,STEPHEN,H,NY,M,D,13,voting,99
99109840,-0.0231234668,STAGGERS,HARLEY,H,WV,M,D,2,voting,99
99109850,-0.0538277323125,STALLINGS,RICHARD,H,ID,M,D,2,voting,99
99109860,-0.0278526490214286,TALLON,ROBERT,H,SC,M,D,6,voting,99
99109870,-0.02530168606,THOMAS,ROBERT,H,GA,M,D,1,voting,99
99109880,0.00369037458703704,TRAXLER,JEROME,H,MI,M,D,8,voting,99
99109890,-0.0420105274062814,UDALL,MORRIS,H,AZ,M,D,2,voting,99
99109900,-0.02259262649,VANDER JAGT,GUY,H,MI,M,R,9,voting,99
99109910,0.0263911067485714,WEBER,JOHN,H,MN,M,R,2,voting,99
99109920,-0.000953304552504983,WEISS,THEODORE,H,NY,M,D,17,voting,99
99109940,-0.00609827983881579,WOLPE,HOWARD,H,MI,M,D,3,voting,99
99109950,-0.071014154835427,WYLIE,CHALMERS,H,OH,M,R,15,voting,99
99109960,0.0166972943540984,YATRON,GUS,H,PA,M,D,6,voting,99
99109980,-0.04005449887425,ANDREWS,MICHAEL,H,TX,M,D,25,voting,99
99110000,-0.0289585916263158,APPLEGATE,DOUGLAS,H,OH,M,D,18,voting,99
99110010,0.0056238996123274,ASPIN,LESLIE,H,WI,M,D,1,voting,99
99110050,-0.0218274766458065,BENTLEY,HELEN,H,MD,F,R,2,voting,99
99110080,-0.106566141573043,BROOKS,JACK,H,TX,M,D,9,voting,99
99110091,-0.0258562985341289,BUMPERS,DALE,S,AR,M,D,,voting,99
99110110,-0.021698822975,CARR,MILTON,H,MI,M,D,6,voting,99
99110131,-0.0532669613637441,DAMATO,ALFONSE,S,NY,M,R,,voting,99
99110140,-0.040898450972,DARDEN,GEORGE,H,GA,M,D,7,voting,99
99110150,-0.0310179248607843,DERRICK,BUTLER,H,SC,M,D,3,voting,99
99110161,0.022627100205692,DOLE,ROBERT,S,KS,M,R,,voting,99
99110170,-0.0462988973003704,EDWARDS,WILLIAM,H,CA,M,D,10,voting,99
99110180,-0.0267435636972028,ENGLISH,GLENN,H,OK,M,D,6,voting,99
99110230,-0.047354459190991,FISH,HAMILTON,H,NY,M,R,21,voting,99
99110240,0.0124069715662624,FOLEY,THOMAS,H,WA,M,D,5,voting,99
99110251,-0.0244109084299476,FORD,WENDELL,S,KY,M,D,,voting,99
99110260,-0.0368095656489442,FORD,WILLIAM,H,MI,M,D,15,voting,99
99110270,-0.0199555630178689,GALLO,DEAN,H,NJ,M,R,11,voting,99
99110281,-0.0163305363580203,GLENN,JOHN,S,OH,M,D,,voting,99
99110290,-0.0436983805233214,GLICKMAN,DANIEL,H,KS,M,D,4,voting,99
99110300,-0.0448666403205128,GRADISON,WILLIS,H,OH,M,R,2,voting,99
99110330,-0.0292962332,HENRY,PAUL,H,MI,M,R,5,voting,99
99110370,-0.0516176514505376,HUGHES,WILLIAM,H,NJ,M,D,2,voting,99
99110380,-0.0208496961246753,HUTTO,EARL,H,FL,M,D,1,voting,99
99110470,-0.0158669112938776,LEHMAN,RICHARD,H,CA,M,D,18,voting,99
99110490,-0.0160863793723404,LEWIS,THOMAS,H,FL,M,R,12,voting,99
99110500,-0.0107637058222222,LLOYD,MARILYN,H,TN,F,D,3,voting,99
99110560,-0.00541565075615385,MAZZOLI,ROMANO,H,KY,M,D,3,voting,99
99110570,-0.0425662848831373,MCCANDLESS,ALFRED,H,CA,M,R,37,voting,99
99110580,0.00655559492954545,MCCLOSKEY,FRANCIS,H,IN,M,D,8,voting,99
99110590,-0.00906440643783761,MCCURDY,DAVID,H,OK,M,D,4,voting,99
99110600,-0.0333093345595833,MCMILLAN,JOHN,H,NC,M,R,9,voting,99
99110610,0.0209229224200668,MICHEL,ROBERT,H,IL,M,R,18,voting,99
99110630,-0.055098208926087,MURPHY,AUSTIN,H,PA,M,D,22,voting,99
99110640,-0.0143635646582105,NATCHER,WILLIAM,H,KY,M,D,2,voting,99
99110650,-0.0712003840738462,NEAL,STEPHEN,H,NC,M,D,5,voting,99
99110661,-0.0505169816422819,PACKWOOD,ROBERT,S,OR,M,R,,voting,99
99110670,-0.0149786423767692,PANETTA,LEON,H,CA,M,D,16,voting,99
99110680,0.0223000846528395,PENNY,TIMOTHY,H,MN,M,D,1,voting,99
99110690,-0.049768787282381,PICKLE,JAMES,H,TX,M,D,10,voting,99
99110710,-0.0459132095837838,RIDGE,THOMAS,H,PA,M,R,21,voting,99
99110720,-0.0729675430694445,ROSTENKOWSKI,DANIEL,H,IL,M,D,8,voting,99
99110730,-0.0291342176018519,ROWLAND,JAMES,H,GA,M,D,8,voting,99
99110770,-0.0437786994051724,SHARP,PHILIP,H,IN,M,D,2,voting,99
99110790,-0.00871850322658228,SLATTERY,JAMES,H,KS,M,D,2,voting,99
99110800,-0.0422453384902747,SMITH,NEAL,H,IA,M,D,4,voting,99
99110810,-0.0149142050078947,SUNDQUIST,DONALD,H,TN,M,R,7,voting,99
99110830,-0.0385307788945055,SWIFT,ALLAN,H,WA,M,D,2,voting,99
99110840,-0.0607228702625,SYNAR,MICHAEL,H,OK,M,D,2,voting,99
99110860,-0.0361490206588235,VALENTINE,ITIMOUS,H,NC,M,D,2,voting,99
99110880,-0.0323018992535714,WHEAT,ALAN,H,MO,M,D,5,voting,99
99110890,-0.0161222527541071,WHITTEN,JAMIE,H,MS,M,D,1,voting,99
99110900,-0.00355850963913043,DE LUGO,RON,H,VI,M,D,0,nonvoting,99
99110940,-0.03106869824875,BEILENSON,ANTHONY,H,CA,M,D,23,voting,99
99110950,-0.0319394118539286,BEVILL,TOM,H,AL,M,D,4,voting,99
99111000,-0.0194711490948276,BRYANT,JOHN,H,TX,M,D,5,voting,99
99111021,-0.0368185549279361,CHAFEE,JOHN,S,RI,M,R,,voting,99
99111030,-0.000281911277777777,CHAPMAN,JIM,H,TX,M,D,1,voting,99
99111050,-0.0439056045337209,CLINGER,WILLIAM,H,PA,M,R,23,voting,99
99111060,-0.02499018050225,COLEMAN,RONALD,H,TX,M,D,16,voting,99
99111080,-0.031962060056338,COLLINS,CARDISS,H,IL,F,D,7,voting,99
99111110,0.0479598224742897,DORNAN,ROBERT,H,CA,M,R,38,voting,99
99111120,0.00226507783981707,EMERSON,NORVELL,H,MO,M,R,8,voting,99
99111140,-0.0604448835918919,FIELDS,JACK,H,TX,M,R,8,voting,99
99111160,0.0109066779175676,FORD,HAROLD,H,TN,M,D,9,voting,99
99111220,-0.0450464068064516,GIBBONS,SAM,H,FL,M,D,7,voting,99
99111231,-0.0623421501808986,GORTON,T.,S,WA,M,R,,voting,99
99111250,-0.00790228731324294,GUNDERSON,STEVEN,H,WI,M,R,3,voting,99
99111300,0.014585850784058,JACOBS,ANDREW,H,IN,M,D,10,voting,99
99111340,-0.0310488308068966,LIGHTFOOT,JAMES,H,IA,M,R,5,voting,99
